"   Zi.Ai  Zf.Af  Emev/n    CSmb   CSerr       Ref. 
     6.12   3.06   150.0   11.60   1.500    ! [RV84]
     6.12   3.07   150.0    9.20   1.500    ! [RV84]
     6.12   4.07   150.0   12.10   1.200    ! [RV84]
     6.12   4.09   150.0    3.20   0.400    ! [RV84]
     6.12   4.10   150.0    1.10   0.100    ! [RV84]
     6.12   6.11   150.0   16.00   4.000    ! [RV84]
     6.12   3.06   155.0    9.80  -0.200    ! [RV84]
     6.12   3.07   155.0    7.80  -0.200    ! [RV84]
     6.12   4.07   155.0   12.10  -0.100    ! [RV84]
     6.12   4.10   220.0    1.80   0.600    ! [RV84]
     6.12   6.10   365.0    3.60  -0.200    ! [RV84]
     6.12   6.11   365.0   33.20  -0.100    ! [RV84]
     6.12   6.10   420.0    3.30  -0.200    ! [RV84]
     6.12   6.11   420.0   32.30  -0.100    ! [RV84]
     6.12   6.10   522.0    3.20  -0.200    ! [RV84]
     6.12   6.11   522.0   30.80  -0.100    ! [RV84]
     6.12   3.06   550.0    7.40  -0.200    ! [RV84]
     6.12   3.07   550.0    5.60  -0.200    ! [RV84]
     6.12   4.07   550.0   11.00  -0.100    ! [RV84]
     6.12   3.06   600.0   15.50   2.200    ! [RV84]
     6.12   3.07   600.0   13.60   2.100    ! [RV84]
     6.12   4.07   600.0   11.00   1.100    ! [RV84]
     6.12   4.09   600.0    5.30   0.700    ! [RV84]
     6.12   4.10   600.0    2.80   0.400    ! [RV84]
     6.12   6.10   648.0    3.00  -0.200    ! [RV84]
     6.12   6.11   648.0   28.20  -0.100    ! [RV84]
     6.12   6.10   832.0    2.60  -0.200    ! [RV84]
     6.12   6.11   832.0   25.80  -0.100    ! [RV84]
     6.12   6.10   980.0    2.70  -0.200    ! [RV84]
     6.12   6.11   980.0   23.40  -0.100    ! [RV84]
     6.12   2.06  1000.0    0.50  -0.300    ! [RV84]
     6.12   3.09  1000.0    0.22  -0.300    ! [RV84]
     6.12   6.10  1000.0    2.10  -0.200    ! [RV84]
     6.12   3.09  2800.0    0.24  -0.300    ! [RV84]
     6.12   3.06  2.50e4   15.30   3.000    ! [RV84]
     6.12   3.07  2.50e4   14.50   3.000    ! [RV84]
     6.12   4.07  2.50e4    9.10   0.400    ! [RV84]
     6.12   4.09  2.50e4    6.10   0.900    ! [RV84]
     6.12   4.10  2.50e4    3.60   0.600    ! [RV84]
     6.12   2.06  2.85e4    0.60  -0.300    ! [RV84]
     6.12   3.06  3.00e5   14.10   1.800    ! [RV84]
     6.12   3.07  3.00e5   12.70   2.000    ! [RV84]
     6.12   4.07  3.00e5    9.10   1.000    ! [RV84]
     6.12   4.09  3.00e5    6.10   0.900    ! [RV84]
     6.12   4.10  3.00e5    3.70   0.600    ! [RV84]
     6.13   4.07   150.0    6.70   1.200    ! [RV84]
     6.13   4.09   150.0    7.00   1.200    ! [RV84]
     6.13   4.10   150.0    4.00   0.900    ! [RV84]
     6.13   4.07   600.0    4.90   0.900    ! [RV84]
     6.13   4.09   600.0    7.20   1.500    ! [RV84]
     6.13   4.10   600.0    6.00   1.400    ! [RV84]
     6.13   4.07  2.50e4    3.70   1.000    ! [RV84]
     6.13   4.09  2.50e4    6.40   0.700    ! [RV84]
     6.13   4.10  2.50e4    5.90   1.700    ! [RV84]
     7.14   6.11     4.94  10.00  -0.100    ! [RV84]*
     7.14   6.11     5.3   28.00  -0.100    ! [RV84]*
     7.14   6.11     5.5   35.00  -0.100    ! [RV84]*
     7.14   6.11     6.15  66.00  -0.100    ! [RV84]*
     7.14   6.11    13.0  111.00   9.000    ! [RV84]*
     7.14   4.07    14.0    3.00   0.200    ! [RV84]*
     7.14   6.11    14.0  107.00   9.000    ! [RV84]*
     7.14   4.07    15.0   13.00   1.000    ! [RV84]*
     7.14   6.11    15.0   83.00   7.100    ! [RV84]*
     7.14   4.07    16.0   22.00   1.500    ! [RV84]*
     7.14   6.11    16.0   88.00   7.500    ! [RV84]*
     7.14   4.07    17.0   30.00   2.300    ! [RV84]*
     7.14   6.11    17.0   76.00   6.500    ! [RV84]*
     7.14   4.07    18.0   36.00   2.700    ! [RV84]*
     7.14   6.11    18.0   64.00   5.400    ! [RV84]*
     7.14   4.07    19.0   42.00   3.200    ! [RV84]*
     7.14   6.11    19.0   48.00   7.000    ! [RV84]*
     7.14   4.07    20.0   44.00   3.000    ! [RV84]*
     7.14   6.11    20.0   37.00   7.500    ! [RV84]*
     7.14   4.07    21.0   45.00   3.400    ! [RV84]*
     7.14   6.11    21.0   33.00   6.500    ! [RV84]*
     7.14   4.07    22.0   42.00   3.200    ! [RV84]*
     7.14   6.11    22.0   31.00   6.500    ! [RV84]*
     7.14   4.07    23.0   39.00   2.900    ! [RV84]*
     7.14   4.07    24.0   34.00   2.600    ! [RV84]*
     7.14   4.07    50.0   14.00   2.800    ! [RV84]*
     7.14   4.07   100.0    7.40   1.500    ! [RV84]
     7.14   2.06   126.0    6.40   3.700    ! [RV84]
     7.14   3.06   126.0   12.70   4.900    ! [RV84]
     7.14   3.07   126.0    9.50   4.200    ! [RV84]
     7.14   4.07   126.0    1.60   1.600    ! [RV84]
     7.14   4.09   126.0    4.80   2.800    ! [RV84]
     7.14   4.10   126.0    1.60   1.600    ! [RV84]
     7.14   4.07   150.0    6.00   1.500    ! [RV84]
     7.14   4.10   150.0    0.60   0.200    ! [RV84]
     7.14   6.11   150.0    7.00   1.500    ! [RV84]
     7.14   4.07   155.0    6.50   1.000    ! [RV84]
     7.14   6.10   155.0    1.80   1.000    ! [RV84]
     7.14   6.11   155.0   15.00   1.000    ! [RV84]
     7.14   4.07   300.0    5.80  -0.200    ! [RV84]
     7.14   4.07   600.0    7.00  -0.200    ! [RV84]
     7.14   4.07   600.0    7.00   2.000    ! [RV84]
     7.14   4.10   600.0    1.30   0.600    ! [RV84]
     7.14   4.07  2200.0    8.60   0.800    ! [RV84]
     7.14   4.07  5700.0   14.00   2.000    ! [RV84]
     8.16   3.06    90.0   17.90   3.600    ! [RV84]*
     8.16   3.07    90.0    9.70   2.000    ! [RV84]*
     8.16   4.07    90.0   10.20   2.000    ! [RV84]*
$     8.16   4.09    90.0    6.20   1.200    ! [RV84] 16O->A9
     8.16   4.10    90.0    1.80   0.300    ! [RV84]*
     8.16   5.10    90.0    9.50   1.000    ! [RV84]*
     8.16   6.10    90.0    7.40   0.800    ! [RV84]*
     8.16   4.07   130.0    7.90   2.000    ! [RV84]
     8.16   4.07   135.0    5.50  -0.200    ! [RV84]
     8.16   3.06   135.0   10.00   2.000    ! [RV84]
     8.16   3.07   135.0    8.00   2.500    ! [RV84]
     8.16   4.07   135.0    5.40   1.000    ! [RV84]
     8.16   4.09   135.0    1.70   0.500    ! [RV84] 0.500
     8.16   4.10   135.0    0.35   0.200    ! [RV84]
     8.16   5.10   135.0   11.00   3.000    ! [RV84]
     8.16   5.11   135.0   25.00   8.000    ! [RV84]
     8.16   6.11   146.0   12.70   2.000    ! [RV84]
     8.16   4.07   153.0    4.20   0.800    ! [RV84]
     8.16   6.11   153.0    7.00   1.000    ! [RV84]
     8.16   3.06   155.0    9.80   1.400    ! [RV84]
     8.16   3.07   155.0   14.00   2.000    ! [RV84]
     8.16   4.07   155.0    5.00   1.000    ! [RV84]
     8.16   4.07   155.0    4.50   1.000    ! [RV84]
     8.16   6.10   155.0    1.00   0.200    ! [RV84]
     8.16   6.11   155.0   11.00   1.000    ! [RV84]
     8.16   3.06   156.0   10.00   2.000    ! [RV84]
     8.16   3.07   156.0    8.50   2.000    ! [RV84]
     8.16   4.07   156.0    5.50   2.000    ! [RV84]
     8.16   4.09   156.0    1.70   0.400    ! [RV84] 0.400
     8.16   4.10   156.0    0.37   0.120    ! [RV84]
     8.16   5.10   156.0   10.00   3.000    ! [RV84]
     8.16   5.11   156.0   14.00   9.000    ! [RV84]
     8.16   6.10   156.0    1.00   0.200    ! [RV84]
     8.16   6.11   156.0   11.00   1.000    ! [RV84]
     8.16   4.07   208.0    4.90   1.200    ! [RV84]
     8.16   4.07   297.0    6.50   1.600    ! [RV84]
     8.16   4.07   396.0    7.50   1.900    ! [RV84]
     8.16   4.07   550.0    9.00   1.500    ! [RV84]
     8.16   4.10   550.0    2.90   0.200    ! [RV84]
     8.16   3.06   600.0   12.40   2.400    ! [RV84]
     8.16   3.07   600.0   11.30   2.200    ! [RV84]
     8.16   4.07   600.0    7.00   1.700    ! [RV84]
     8.16   4.09   600.0    2.60   0.900    ! [RV84]
     8.16   4.10   600.0    0.60   0.200    ! [RV84]
     8.16   5.10   600.0   12.00   5.000    ! [RV84]
     8.16   5.11   600.0   25.00  12.000    ! [RV84]
     8.16   3.06   600.0   18.00   5.000    ! [RV84]
     8.16   4.07   600.0    7.00   1.500    ! [RV84]
     8.16   4.07   600.0    9.50   1.100    ! [RV84]
     8.16   4.09   600.0    4.90   0.700    ! [RV84]
     8.16   4.10   600.0    1.90   0.400    ! [RV84]
     8.16   4.07   600.0    6.50   2.000    ! [RV84]
     8.16   4.09   600.0    2.40   1.200    ! [RV84]
     8.16   4.10   600.0    0.60   0.400    ! [RV84]
     8.16   5.10   600.0   12.00   5.000    ! [RV84]
     8.16   5.11   600.0   25.00  12.000    ! [RV84]
     8.16   4.07  1000.0    9.40   1.500    ! [RV84]
     8.16   4.07  2000.0    9.80   1.400    ! [RV84]
     8.16   4.07  2200.0    8.80   0.400    ! [RV84]
     8.16   4.07  5700.0   10.00   5.000    ! [RV84]
     8.16   4.07  7000.0    9.10   0.500    ! [RV84]
     8.16   4.07  1.90e4    6.50   2.000    ! [RV84]
     8.16   4.09  1.90e4    2.20   1.100    ! [RV84]
     8.16   4.10  1.90e4    0.64   0.500    ! [RV84]
     8.16   5.10  1.90e4   15.80   8.000    ! [RV84]
$     5.11   4.07   486.0   25.10   0.377    ! [W90]
$     5.11   4.09   486.0    6.50  -0.300    ! [W90] err: was 0.2/incrd. by imos
     5.11   4.10   486.0    5.00  -0.100    ! [W90]i
     6.12   4.07   486.0    7.10  -0.100    ! [W90]r
     6.12   4.09   486.0    4.30  -0.100    ! [W90]r
     6.12   4.10   486.0    2.50  -0.100    ! [W90]r
     6.12   5.10   486.0   17.10  -0.050    ! [W90]r
     6.12   5.11   486.0   32.70  -0.050    ! [W90]r
     6.12   6.10   486.0    1.10  -0.300    ! [W90]r
     6.12   6.11   486.0   28.70  -0.050    ! [W90]r
     7.14   4.07   516.0   10.10  -0.100    ! [W90]i
     7.14   4.09   516.0    2.00  -0.300    ! [W90]i
     7.14   4.10   516.0    1.60  -0.300    ! [W90]i
     7.14   5.10   516.0    9.90  -0.050    ! [W90]r
     7.14   5.11   516.0   17.50  -0.050    ! [W90]r
     7.14   6.10   516.0    0.90  -0.300    ! [W90]i
     7.14   6.11   516.0   11.70  -0.050    ! [W90]r
     7.14   6.12   516.0   52.10  -0.050    ! [W90]r
     7.14   6.13   516.0    9.60  -0.050    ! [W90]r
     7.14   7.12   516.0    1.10  -0.300    ! [W90]i
     7.14   7.13   516.0    7.50  -0.100    ! [W90]r
     8.16   5.10   516.0    9.60  -0.050    ! [W90]r
     8.16   5.11   516.0   15.60  -0.050    ! [W90]r
     8.16   5.12   516.0    1.10  -0.300    ! [W90]i
     8.16   6.10   516.0    1.60  -0.300    ! [W90]i
     8.16   6.11   516.0   11.90  -0.100    ! [W90]r
     8.16   6.12   516.0   33.60  -0.050    ! [W90]r
     8.16   6.13   516.0   18.00  -0.050    ! [W90]r
     8.16   6.14   516.0    1.70  -0.100    ! [W90]r
     8.16   7.12   516.0    0.30  -0.300    ! [W90]i
     8.16   7.13   516.0    5.70  -0.200    ! [W90]r
     8.16   7.14   516.0   31.00  -0.050    ! [W90]r
     8.16   7.15   516.0   34.90  -0.050    ! [W90]r
     8.16   8.14   516.0    1.20  -0.300    ! [W90]r
     8.16   8.15   516.0   30.30  -0.050    ! [W90]r
    10.20   6.10   534.0    0.30  -0.300    ! [W90]i
    10.20   6.11   534.0    6.30  -0.100    ! [W90]r
    10.20   6.12   534.0   34.60  -0.050    ! [W90]r
    10.20   6.13   534.0   15.70  -0.050    ! [W90]r
    10.20   6.14   534.0    2.30  -0.100    ! [W90]r
    10.20   7.12   534.0    0.40  -0.300    ! [W90]i
    10.20   7.13   534.0    4.10  -0.200    ! [W90]r
    10.20   7.14   534.0   28.20  -0.050    ! [W90]r
    10.20   7.15   534.0   27.80  -0.050    ! [W90]r
