  Ya01  ACE       MeV  none              ratio 131.91 120.0  145.0    0.122     0.016  0.0   a    4.10  0.00   0.0 | 4.09  0.0   0.0  Table 2 col 3,6
  Ya01  ACE       MeV  none              ratio 151.24 125.0  183.0    0.042     0.003  0.0   a   13.26  0.00   0.0 |13.27  0.0   0.0  Table 2 col 3,6
  Ya01  ACE       MeV  none              ratio 210.44 183.0  242.0    0.043     0.004  0.0   a   13.26  0.00   0.0 |13.27  0.0   0.0  Table 2 col 3,6
  Ya01  ACE       MeV  none              ratio 269.44 242.0  300.0    0.037     0.004  0.0   a   13.26  0.00   0.0 |13.27  0.0   0.0  Table 2 col 3,6
  Ya01  ACE       MeV  none              ratio 193.65 150.0  250.0    0.056     0.010  0.0   a   17.36  0.00   0.0 |17.35 17.36 17.37 Table 2 col 3,6
  Ya01  ACE       MeV  none              ratio 295.80 250.0  350.0    0.063     0.011  0.0   a   17.36  0.00   0.0 |17.35 17.36 17.37 Table 2 col 3,6
  Ya01  ACE       MeV  none              ratio 211.79 178.0  252.0    0.113     0.010  0.0   a   25.54  0.00   0.0 |25.53 25.54 25.55 Table 2 col 3,6
  Ya01  ACE       MeV  none              ratio 286.62 252.0  326.0    0.109     0.011  0.0   a   25.54  0.00   0.0 |25.53 25.54 25.55 Table 2 col 3,6
  Ya01  ACE       MeV  none              ratio 361.11 326.0  400.0    0.106     0.012  0.0   a   25.54  0.00   0.0 |25.53 25.54 25.55 Table 2 col 3,6
#                             ACE light element ratios  <E>=geometric  mean, measured energies
  No01  ACE       MeV  none              ratio  72.1   40.0  130.0    0.97      0.05   0.0   a    3.07  0.00   0.0 | 3.06  0.0   0.0 Table 1 col 2  CRIS1
  No01  ACE       MeV  none              ratio  72.1   40.0  130.0    1.12      0.08   0.0   a    3.07  0.00   0.0 | 3.06  0.0   0.0 Table 1 col 3  CRIS2
  No01  ACE       MeV  none              ratio  72.1   40.0  130.0    1.54      0.06   0.0   a    4.07  0.00   0.0 | 4.09  0.0   0.0 Table 1 col 2  CRIS1
  No01  ACE       MeV  none              ratio  72.1   40.0  130.0    1.41      0.07   0.0   a    4.07  0.00   0.0 | 4.09  0.0   0.0 Table 1 col 3  CRIS2
  No01  ACE       MeV  none              ratio  72.1   40.0  130.0    2.29      0.04   0.0   a    5.11  0.00   0.0 | 5.10  0.0   0.0 Table 1 col 2  CRIS1
  No01  ACE       MeV  none              ratio  72.1   40.0  130.0    2.36      0.04   0.0   a    5.11  0.00   0.0 | 5.10  0.0   0.0 Table 1 col 3  CRIS2
  No01  ACE       MeV  none              ratio  72.1   40.0  130.0    0.250     0.004  0.0   a    5.10  5.11   0.0 | 6.12  6.13  0.0 Table 1 col 2  CRIS1
  No01  ACE       MeV  none              ratio  72.1   40.0  130.0    0.265     0.004  0.0   a    5.10  5.11   0.0 | 6.12  6.13  0.0 Table 1 col 3  CRIS2
#                             IMP light element ratios  <E>=geometric  mean, measured energies, from Nolfo (not orig. refs)
  No01  IMP       MeV  none              ratio  68.4   31.0  151.0    0.97      0.11   0.0   a    3.07  0.00   0.0 | 3.06  0.0   0.0 Table 1 col 4
  No01  IMP       MeV  none              ratio  68.4   31.0  151.0    1.56      0.12   0.0   a    4.07  0.00   0.0 | 4.09  0.0   0.0 Table 1 col 4
  No01  IMP       MeV  none              ratio  68.4   31.0  151.0    2.40      0.21   0.0   a    5.11  0.00   0.0 | 5.10  0.0   0.0 Table 1 col 4          
  No01  IMP       MeV  none              ratio  68.4   31.0  151.0    0.220     0.009  0.0   a    5.10  5.11   0.0 | 6.12  6.13  0.0 Table 1 col 4    
#                             Voyager light element ratios:  Webber 2002 see also No01   <E>=geometric  mean. error in ratio of ratios: own estimates
  We02  Voyager   MeV  none              ratio  55.0   34.0   89.0    1.19      0.12   0.0   a    3.07  0.00   0.0 | 3.06  0.0   0.0 Table 1 col 3,4 ratio of ratios
  We02  Voyager   MeV  none              ratio  65.0   37.0  113.0    1.50      0.18   0.0   a    4.07  0.00   0.0 | 4.09  0.0   0.0 Table 1 col 3,4 ratio of ratios
#                             Webber has also more ratios to be added
#                             Voyager isotopic composition  <E>=geometric  mean
  We97  Voyager   MeV  none              ratio  98.7   65.0  150.0    0.571    0.012   0.0   a   10.20  0.00   0.0 |10.-1  0.0   0.0 Table 1 Ne
